CustomerID,Senior Citizen,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,City,Zip Code,Gender,Churn Value,Churn Score,CLTV,Churn Reason,Age,Under 30,Married,Number of Dependents,Population,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Category
9763-GRSKD,No,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,Los Angeles,90012,Male,0,76,5764,Active Subscriber,37,No,Yes,2,30596,Yes,1,Offer D,29.68,22,No,No,0.0,150,385.84,1123.29,3,Stayed,Active Subscriber
7469-LKBCI,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,Los Angeles,90013,Male,0,39,4726,Active Subscriber,21,Yes,No,0,9732,No,0,Offer D,32.62,0,No,No,0.0,0,521.92,848.72,3,Stayed,Active Subscriber
8091-TTVAX,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Los Angeles,90014,Male,0,71,6432,Active Subscriber,39,No,Yes,0,3524,Yes,7,Offer B,5.69,10,Yes,Yes,0.0,0,330.02,6011.12,3,Stayed,Active Subscriber
0280-XJGEX,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Los Angeles,90015,Male,1,89,5340,Competitor had better devices,38,No,No,1,15140,No,0,No Offer,44.33,11,Yes,Yes,0.0,0,2172.17,7208.47,1,Churned,Competitor
5129-JLPIS,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Los Angeles,90016,Male,0,75,5822,Active Subscriber,27,Yes,No,0,46984,No,0,No Offer,10.4,48,Yes,Yes,0.0,0,260.0,2946.05,3,Stayed,Active Subscriber
3655-SNQYZ,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Los Angeles,90017,Female,0,43,5141,Active Subscriber,48,No,Yes,0,20692,Yes,7,Offer A,33.23,3,Yes,Yes,0.0,0,2292.87,10188.02,4,Stayed,Active Subscriber
8191-XWSZG,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,Los Angeles,90018,Female,0,35,5186,Active Subscriber,57,No,No,0,47143,No,0,Offer B,22.55,0,No,No,0.0,0,1172.6,2195.55,4,Stayed,Active Subscriber
9959-WOFKT,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Los Angeles,90019,Male,0,73,4479,Active Subscriber,61,No,No,0,67520,No,0,No Offer,14.67,7,Yes,Yes,0.0,0,1041.57,8423.82,3,Stayed,Active Subscriber
4190-MFLUW,No,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Los Angeles,90020,Female,1,78,5925,Competitor offered higher download speeds,21,Yes,Yes,0,42394,Yes,6,No Offer,9.41,69,No,Yes,0.0,0,94.1,622.45,1,Churned,Competitor
4183-MYFRB,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Los Angeles,90021,Female,0,57,5982,Active Subscriber,30,No,No,0,3012,No,0,Offer D,6.49,73,Yes,No,0.0,30,136.29,2029.19,3,Stayed,Active Subscriber
8779-QRDMV,Yes,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Los Angeles,90022,Male,1,100,5433,Competitor offered more data,78,No,No,0,68701,No,0,No Offer,0.0,8,No,No,0.0,20,0.0,59.65,3,Churned,Competitor
1680-VDCWW,No,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,Los Angeles,90023,Male,0,77,5279,Active Subscriber,45,No,Yes,0,47487,Yes,10,Offer D,11.04,0,No,No,0.0,0,132.48,334.73,4,Stayed,Active Subscriber
1066-JKSGK,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,Los Angeles,90024,Male,1,92,4832,Competitor made better offer,29,Yes,No,0,44150,No,0,No Offer,33.58,0,No,No,0.0,0,33.58,53.73,1,Churned,Competitor
3638-WEABW,No,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Los Angeles,90025,Female,0,53,6407,Active Subscriber,25,Yes,Yes,0,41175,Yes,1,Offer B,48.98,76,No,Yes,0.0,0,2840.84,6345.94,3,Stayed,Active Subscriber
6322-HRPFA,No,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Los Angeles,90026,Male,0,79,4986,Active Subscriber,42,No,Yes,2,73686,Yes,3,Offer B,5.29,30,No,Yes,0.0,0,259.21,3229.51,3,Stayed,Active Subscriber
6865-JZNKO,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Los Angeles,90027,Female,0,65,2725,Active Subscriber,25,Yes,No,0,48727,No,0,No Offer,19.41,27,No,Yes,0.0,0,582.3,2112.9,4,Stayed,Active Subscriber
6467-CHFZW,No,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Los Angeles,90028,Male,1,77,5789,Competitor had better devices,61,No,Yes,1,30568,Yes,1,No Offer,31.35,16,Yes,Yes,0.0,0,1473.45,6222.6,1,Churned,Competitor
8665-UTDHZ,No,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Los Angeles,90029,Male,1,97,2915,Competitor had better devices,27,Yes,Yes,0,41713,Yes,1,No Offer,0.0,58,No,Yes,0.0,0,0.0,30.2,1,Churned,Competitor
5248-YGIJN,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Los Angeles,90031,Male,0,21,5974,Active Subscriber,36,No,Yes,0,38415,Yes,9,No Offer,10.92,28,Yes,Yes,0.0,0,786.24,7155.69,3,Stayed,Active Subscriber
8773-HHUOZ,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Los Angeles,90032,Female,1,74,3022,Competitor offered higher download speeds,20,Yes,No,0,46960,No,0,No Offer,40.55,41,Yes,Yes,0.0,0,689.35,1782.45,1,Churned,Competitor
3841-NFECX,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Los Angeles,90033,Female,0,38,5309,Active Subscriber,69,No,Yes,0,49431,Yes,3,No Offer,47.02,12,No,Yes,0.0,0,3338.42,10105.37,4,Stayed,Active Subscriber
4929-XIHVW,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Los Angeles,90034,Male,0,69,4449,Active Subscriber,79,No,Yes,0,58218,Yes,10,Offer E,33.1,11,No,No,0.0,10,66.2,257.85,5,Joined,Active Subscriber
6827-IEAUQ,No,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,Los Angeles,90035,Female,0,66,3213,Active Subscriber,46,No,Yes,0,27799,Yes,5,No Offer,40.21,13,No,Yes,0.0,0,1085.67,2960.12,3,Stayed,Active Subscriber
7310-EGVHZ,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Los Angeles,90036,Male,0,77,5526,Active Subscriber,35,No,No,0,32901,No,0,Offer E,24.48,0,No,No,0.0,0,24.48,44.68,5,Joined,Active Subscriber
3413-BMNZE,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Los Angeles,90037,Male,0,40,3144,Active Subscriber,71,No,No,0,56709,No,0,Offer E,11.89,12,No,Yes,0.0,0,11.89,57.14,3,Joined,Active Subscriber
6234-RAAPL,No,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Los Angeles,90038,Female,0,79,5915,Active Subscriber,60,No,Yes,0,32562,Yes,7,No Offer,23.66,26,No,Yes,0.0,0,1703.52,8955.22,4,Stayed,Active Subscriber
6047-YHPVI,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Los Angeles,90039,Male,1,66,2454,Competitor offered higher download speeds,56,No,No,3,29310,No,0,No Offer,12.6,58,No,Yes,0.0,0,63.0,379.9,1,Churned,Competitor
6572-ADKRS,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Los Angeles,90040,Female,0,41,3395,Active Subscriber,19,Yes,No,0,9805,No,0,Offer B,42.44,69,No,Yes,0.0,0,1952.24,5500.54,3,Stayed,Active Subscriber
5380-WJKOV,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Los Angeles,90041,Male,1,65,2941,Competitor offered higher download speeds,51,No,No,1,27866,No,0,Offer C,21.69,28,Yes,Yes,0.0,0,737.46,4286.71,2,Churned,Competitor
8168-UQWWF,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Los Angeles,90042,Female,1,70,5674,Competitor offered more data,48,No,No,2,64672,No,0,No Offer,27.57,18,Yes,Yes,0.0,0,303.27,1408.67,3,Churned,Competitor
8865-TNMNX,No,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,Los Angeles,90043,Male,0,22,2392,Active Subscriber,53,No,Yes,0,44764,Yes,6,Offer D,26.17,7,No,Yes,0.0,0,261.7,737.4,3,Stayed,Active Subscriber
9489-DEDVP,No,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Los Angeles,90044,Female,0,25,4715,Active Subscriber,52,No,Yes,0,87383,Yes,8,No Offer,29.38,23,No,No,0.0,80,2056.6,7008.95,3,Stayed,Active Subscriber
9867-JCZSP,No,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,418.25,No,Los Angeles,90045,Female,0,64,3646,Active Subscriber,28,Yes,Yes,0,39334,Yes,8,Offer D,8.74,0,No,No,0.0,0,148.58,566.83,4,Stayed,Active Subscriber
4671-VJLCL,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Los Angeles,90046,Female,0,70,4595,Active Subscriber,36,No,No,0,49839,No,0,Offer B,12.82,17,No,Yes,0.0,0,807.66,5669.11,3,Stayed,Active Subscriber
4080-IIARD,No,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,Los Angeles,90047,Female,0,41,2569,Active Subscriber,42,No,Yes,0,47107,Yes,1,Offer D,11.79,29,No,Yes,0.0,0,153.27,1134.72,5,Stayed,Active Subscriber
3714-NTNFO,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Los Angeles,90048,Female,0,71,6434,Active Subscriber,49,No,No,0,21739,No,0,Offer B,27.2,24,Yes,Yes,0.0,0,1332.8,5239.5,5,Stayed,Active Subscriber
5948-UJZLF,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,Los Angeles,90049,Male,0,57,3805,Active Subscriber,22,Yes,No,0,33523,No,0,No Offer,40.75,71,No,Yes,0.0,0,81.5,178.5,5,Joined,Active Subscriber
7760-OYPDY,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Los Angeles,90056,Female,1,90,5586,Competitor offered more data,32,No,No,2,8115,No,0,No Offer,5.85,19,No,No,0.0,20,11.7,175.85,1,Churned,Competitor
7639-LIAYI,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Los Angeles,90057,Male,0,49,4142,Active Subscriber,23,Yes,No,0,44004,No,0,Offer B,29.16,73,Yes,Yes,0.0,0,1516.32,5734.12,4,Stayed,Active Subscriber
2954-PIBKO,No,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Los Angeles,90058,Female,0,62,5128,Active Subscriber,64,No,Yes,0,3642,Yes,7,No Offer,39.88,17,No,No,0.0,40,2751.72,7045.82,3,Stayed,Active Subscriber
8012-SOUDQ,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Los Angeles,90059,Female,0,52,2223,Active Subscriber,65,No,No,0,38128,No,0,Offer B,12.58,26,No,Yes,0.0,0,540.94,4379.69,4,Stayed,Active Subscriber
9420-LOJKX,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Los Angeles,90061,Female,1,82,2966,Competitor offered more data,34,No,No,1,24511,No,0,No Offer,3.96,20,Yes,Yes,0.0,0,59.4,1485.8,1,Churned,Competitor
6575-SUVOI,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Los Angeles,90062,Female,0,25,3154,Active Subscriber,65,No,Yes,0,29299,Yes,9,No Offer,30.6,2,No,Yes,0.0,0,765.0,2517.65,4,Stayed,Active Subscriber
7495-OOKFY,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Los Angeles,90063,Female,1,69,5302,Competitor made better offer,74,No,Yes,1,55668,Yes,1,Offer E,48.85,17,No,Yes,0.0,0,390.8,1024.1,3,Churned,Competitor
4667-QONEA,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Los Angeles,90064,Female,0,59,5153,Active Subscriber,72,No,Yes,0,24505,Yes,9,Offer B,48.9,16,No,Yes,0.0,0,2934.0,7390.35,3,Stayed,Active Subscriber
1658-BYGOY,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Los Angeles,90065,Male,1,81,3179,Competitor made better offer,71,No,No,3,47534,No,0,Offer D,11.33,52,Yes,Yes,45.61,0,203.94,1910.88,2,Churned,Competitor
8769-KKTPH,No,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Los Angeles,90066,Female,0,79,4572,Active Subscriber,44,No,Yes,0,55204,Yes,2,Offer B,1.43,16,Yes,Yes,0.0,0,90.09,6401.29,3,Stayed,Active Subscriber
5067-XJQFU,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Los Angeles,90067,Male,0,74,4582,Active Subscriber,77,No,Yes,0,2527,Yes,3,No Offer,21.79,9,No,Yes,0.0,0,1438.14,8514.49,5,Stayed,Active Subscriber
3957-SQXML,No,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,Los Angeles,90068,Female,0,62,5408,Active Subscriber,61,No,Yes,0,21728,Yes,10,No Offer,25.21,0,No,No,0.0,0,857.14,1751.44,3,Stayed,Active Subscriber
5954-BDFSG,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,West Hollywood,90069,Female,0,53,4708,Active Subscriber,40,No,No,0,20408,No,0,No Offer,9.47,21,Yes,No,0.0,60,681.84,8595.54,3,Stayed,Active Subscriber
0434-CSFON,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Los Angeles,90071,Female,0,70,4488,Active Subscriber,34,No,Yes,0,21,Yes,3,Offer B,38.15,14,Yes,Yes,0.0,0,1793.05,6500.15,3,Stayed,Active Subscriber
1215-FIGMP,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Los Angeles,90077,Male,0,35,6292,Active Subscriber,27,Yes,No,0,10470,No,0,Offer B,42.88,52,No,Yes,0.0,0,2572.8,8023.5,3,Stayed,Active Subscriber
0526-SXDJP,No,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,Bell,90201,Male,0,29,6091,Active Subscriber,36,No,Yes,0,105285,Yes,7,Offer A,0.0,17,No,Yes,0.0,0,0.0,2962.0,4,Stayed,Active Subscriber
0557-ASKVU,No,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Beverly Hills,90210,Female,0,33,4948,Active Subscriber,43,No,Yes,0,21397,Yes,2,Offer D,44.97,7,No,Yes,0.0,0,809.46,1766.56,5,Stayed,Active Subscriber
5698-BQJOH,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Beverly Hills,90211,Female,1,96,5571,Price too high,41,No,No,2,8321,No,0,No Offer,27.21,29,Yes,Yes,0.0,0,244.89,1102.14,3,Churned,Price
5122-CYFXA,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,Beverly Hills,90212,Female,0,35,5387,Active Subscriber,53,No,No,0,11355,No,0,Offer E,38.99,20,Yes,Yes,0.0,0,116.97,361.07,3,Joined,Active Subscriber
8627-ZYGSZ,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,Compton,90220,Male,0,61,3817,Active Subscriber,32,No,Yes,0,47305,Yes,8,Offer B,39.52,30,No,Yes,0.0,0,1857.44,5507.79,5,Stayed,Active Subscriber
3410-YOQBQ,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,Compton,90221,Female,0,78,4984,Active Subscriber,61,No,No,0,51387,No,0,No Offer,25.57,27,Yes,No,0.0,70,792.67,3359.87,5,Stayed,Active Subscriber
3170-NMYVV,No,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,Compton,90222,Female,0,20,5849,Active Subscriber,37,No,Yes,0,29825,Yes,5,Offer B,26.95,0,No,No,0.0,0,1347.5,2278.4,4,Stayed,Active Subscriber
7410-OIEDU,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,Culver City,90230,Male,0,38,5983,Active Subscriber,29,Yes,No,0,31963,No,0,No Offer,48.38,42,No,Yes,0.0,0,483.8,1371.15,3,Stayed,Active Subscriber
2273-QCKXA,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Culver City,90232,Male,0,30,3178,Active Subscriber,39,No,No,0,15195,No,0,No Offer,25.77,5,No,Yes,0.0,0,25.77,74.82,3,Joined,Active Subscriber
0731-EBJQB,No,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No,Downey,90240,Female,0,26,5482,Active Subscriber,24,Yes,Yes,0,24908,Yes,3,Offer B,5.65,0,No,No,0.0,0,293.8,1384.45,3,Stayed,Active Subscriber
1891-QRQSA,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Downey,90241,Male,0,69,4881,Active Subscriber,71,No,Yes,0,40152,Yes,9,Offer B,16.33,10,No,Yes,0.0,0,1045.12,8144.12,4,Stayed,Active Subscriber
8028-PNXHQ,No,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Downey,90242,Male,0,33,4444,Active Subscriber,40,No,Yes,0,42459,Yes,4,Offer B,48.73,0,No,No,0.0,0,3021.26,4445.86,5,Stayed,Active Subscriber
5630-AHZIL,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,El Segundo,90245,Female,0,54,5613,Active Subscriber,51,No,No,3,16041,No,0,Offer E,39.55,56,Yes,No,0.0,60,118.65,356.05,3,Joined,Active Subscriber
2673-CXQEU,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Gardena,90247,Female,0,21,4463,Active Subscriber,73,No,No,0,47758,No,0,No Offer,47.13,29,No,Yes,0.0,0,2639.28,8778.78,4,Stayed,Active Subscriber
6416-JNVRK,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Gardena,90248,Female,0,56,2867,Active Subscriber,50,No,No,0,9960,No,0,Offer B,2.03,7,Yes,Yes,0.0,0,93.38,2782.23,5,Stayed,Active Subscriber
5590-ZSKRV,No,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Gardena,90249,Female,0,43,5614,Active Subscriber,62,No,Yes,1,26442,Yes,1,Offer E,38.78,18,No,Yes,0.0,0,310.24,792.49,3,Stayed,Active Subscriber
0191-ZHSKZ,Yes,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Hawthorne,90250,Male,0,55,3033,Active Subscriber,80,No,No,0,93315,No,0,No Offer,38.61,5,No,Yes,0.0,0,1158.3,3269.6,4,Stayed,Active Subscriber
3887-PBQAO,No,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,Hermosa Beach,90254,Female,0,78,5741,Active Subscriber,48,No,Yes,0,18693,Yes,4,Offer B,22.49,0,No,No,0.0,0,1012.05,2228.65,4,Stayed,Active Subscriber
5919-TMRGD,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Huntington Park,90255,Female,1,87,2483,Product dissatisfaction,32,No,No,3,78114,No,0,No Offer,13.13,57,No,Yes,0.0,0,13.13,92.48,1,Churned,Competitor
8108-UXRQN,No,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Lawndale,90260,Female,0,28,3443,Active Subscriber,23,Yes,Yes,1,33300,Yes,1,No Offer,0.0,41,Yes,Yes,0.0,0,0.0,565.35,3,Stayed,Active Subscriber
